City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,al mijlad,11.0333,27.7333,27.30000000000001,57,100,3.75,SD,1690058784
92,talnakh,69.4865,88.3972,16.80000000000001,96,100,2.61,RU,1690058784
93,ancud,-41.8697,-73.8203,7.07000000000005,66,74,3.68,CL,1690058784
94,fortuna,40.5982,-124.1573,21.629999999999995,72,20,5.66,US,1690058211
95,kayangel,8.0823,134.7173,27.930000000000007,79,100,4.22,PW,1690058784
96,oyama,36.3,139.8,26.439999999999998,75,83,0.82,JP,1690058784
97,bengkulu,-3.8004,102.2655,24.230000000000018,92,91,1.84,ID,1690058760
98,flin flon,54.7682,-101.865,22.910000000000025,38,20,5.14,CA,1690058785
99,khovd,48.0056,91.6419,17.310000000000002,45,0,2.11,MN,1690058785
100,punta arenas,-53.15,-70.9167,-0.23999999999995225,80,18,4.25,CL,1690058785
101,kone,-21.0595,164.8658,18.939999999999998,65,71,2.07,NC,1690058785
102,tura,25.5198,90.2201,24.03000000000003,98,100,1.93,IN,1690058785
103,bilibino,68.0546,166.4372,20.350000000000023,56,69,1.42,RU,1690058612
104,lazaro cardenas,17.9583,-102.2,32.08000000000004,51,97,3.27,MX,1690058786
105,neiafu,-18.65,-173.9833,24.160000000000025,67,7,3.34,TO,1690058786
106,dong ha,16.8163,107.1003,24.910000000000025,94,33,1.27,VN,1690058786
107,atar,20.5169,-13.0499,37.610000000000014,23,0,5.28,MR,1690058786
108,vadso,70.0744,29.7487,8.490000000000009,87,100,6.17,NO,1690058786
109,wyoming,43.0002,-107.5009,30.49000000000001,12,1,3.86,US,1690058211
110,bontang,0.1333,117.5,24.410000000000025,90,84,3.14,ID,1690058787
111,pokhara,28.2333,83.9833,22.600000000000023,98,100,0.82,NP,1690058731
112,ushuaia,-54.8,-68.3,-0.18999999999999773,80,75,5.14,AR,1690058787
113,ormara,25.2088,64.6357,28.460000000000036,79,100,4.86,PK,1690058787
114,beaufort west,-32.3567,22.583,10.03000000000003,25,0,2.23,ZA,1690058787
115,motegi,36.5167,140.1833,24.189999999999998,87,92,0.4,JP,1690058527
116,rasht,37.2808,49.5832,25.900000000000034,89,20,0.0,IR,1690058787
117,letlhakane,-21.4167,25.5833,13.510000000000048,70,0,3.74,BW,1690058787
118,avarua,-21.2078,-159.775,22.03000000000003,94,100,9.26,CK,1690058527
119,ternate,0.8,127.4,26.689999999999998,80,99,3.86,ID,1690058788
